StudentID,Email,Phone,EnrollmentDate,subject_id,score
1001,student1@school.edu,010-1234-5601,2022-01-28,101,87
1002,student2@school.edu,010-1234-5602,2022-02-28,101,62
1003,student3@school.edu,010-1234-5603,2022-03-28,101,37
1004,student4@school.edu,010-1234-5604,2022-04-28,101,47
1005,student5@school.edu,010-1234-5605,2022-05-28,101,12
1006,student6@school.edu,010-1234-5606,2022-06-28,101,3
1007,student7@school.edu,010-1234-5607,2022-07-28,101,54
1008,student8@school.edu,010-1234-5608,2022-08-28,101,75
1009,student9@school.edu,010-1234-5609,2022-09-28,101,70
1010,student10@school.edu,010-1234-5610,2022-10-28,101,87
1001,student1@school.edu,010-1234-5601,2022-01-28,102,46
1002,student2@school.edu,010-1234-5602,2022-02-28,102,50
1003,student3@school.edu,010-1234-5603,2022-03-28,102,37
1004,student4@school.edu,010-1234-5604,2022-04-28,102,18
1005,student5@school.edu,010-1234-5605,2022-05-28,102,39
1006,student6@school.edu,010-1234-5606,2022-06-28,102,92
1007,student7@school.edu,010-1234-5607,2022-07-28,102,81
1008,student8@school.edu,010-1234-5608,2022-08-28,102,97
1009,student9@school.edu,010-1234-5609,2022-09-28,102,6
1010,student10@school.edu,010-1234-5610,2022-10-28,102,43
1001,student1@school.edu,010-1234-5601,2022-01-28,103,20
1002,student2@school.edu,010-1234-5602,2022-02-28,103,56
1003,student3@school.edu,010-1234-5603,2022-03-28,103,18
1004,student4@school.edu,010-1234-5604,2022-04-28,103,92
1005,student5@school.edu,010-1234-5605,2022-05-28,103,99
1006,student6@school.edu,010-1234-5606,2022-06-28,103,44
1007,student7@school.edu,010-1234-5607,2022-07-28,103,16
1008,student8@school.edu,010-1234-5608,2022-08-28,103,90
1009,student9@school.edu,010-1234-5609,2022-09-28,103,82
1010,student10@school.edu,010-1234-5610,2022-10-28,103,32
1001,student1@school.edu,010-1234-5601,2022-01-28,104,66
1002,student2@school.edu,010-1234-5602,2022-02-28,104,90
1003,student3@school.edu,010-1234-5603,2022-03-28,104,88
1004,student4@school.edu,010-1234-5604,2022-04-28,104,77
1005,student5@school.edu,010-1234-5605,2022-05-28,104,76
1006,student6@school.edu,010-1234-5606,2022-06-28,104,55
1007,student7@school.edu,010-1234-5607,2022-07-28,104,44
1008,student8@school.edu,010-1234-5608,2022-08-28,104,31
1009,student9@school.edu,010-1234-5609,2022-09-28,104,71
1010,student10@school.edu,010-1234-5610,2022-10-28,104,14
1001,student1@school.edu,010-1234-5601,2022-01-28,105,6
1002,student2@school.edu,010-1234-5602,2022-02-28,105,22
1003,student3@school.edu,010-1234-5603,2022-03-28,105,68
1004,student4@school.edu,010-1234-5604,2022-04-28,105,78
1005,student5@school.edu,010-1234-5605,2022-05-28,105,38
1006,student6@school.edu,010-1234-5606,2022-06-28,105,10
1007,student7@school.edu,010-1234-5607,2022-07-28,105,60
1008,student8@school.edu,010-1234-5608,2022-08-28,105,59
1009,student9@school.edu,010-1234-5609,2022-09-28,105,72
1010,student10@school.edu,010-1234-5610,2022-10-28,105,55
